run_index,wall_ns,delta_ns,acc_ns_pre,catch_ups,acc_ns_post,audio_frames
1,766853439207000,8000,8000,1,0,800
2,766853460345000,21138000,21138000,1,0,800
3,766853481632000,21287000,21287000,1,0,800
4,766853502739000,21107000,21107000,1,0,800
5,766853523338000,20599000,20599000,1,0,800
6,766853544469000,21131000,21131000,1,0,800
7,766853565534000,21065000,21065000,1,0,800
8,766853582941000,17407000,17407000,1,0,800
9,766853600633000,17692000,17692000,1,0,800
10,766853620476000,19843000,19843000,1,0,800
11,766853641559000,21083000,21083000,1,0,800
12,766853661530000,19971000,19971000,1,0,800
13,766853682701000,21171000,21171000,1,0,800
14,766853703765000,21064000,21064000,1,0,800
15,766853723359000,19594000,19594000,1,0,800
16,766853744265000,20906000,20906000,1,0,800
17,766853761257000,16992000,16992000,1,0,800
18,766853778833000,17576000,17576000,1,0,800
19,766853798850000,20017000,20017000,1,0,800
20,766853819947000,21097000,21097000,1,0,800
21,766853841018000,21071000,21071000,1,0,800
22,766853862136000,21118000,21118000,1,0,800
23,766853881183000,19047000,19047000,1,0,800
24,766853899247000,18064000,18064000,1,0,800
25,766853916485000,17238000,17238000,1,0,800
26,766853937555000,21070000,21070000,1,0,800
27,766853958648000,21093000,21093000,1,0,800
28,766853979749000,21101000,21101000,1,0,800
29,766853998298000,18549000,18549000,1,0,800
30,766854018766000,20468000,20468000,1,0,800
31,766854038427000,19661000,19661000,1,0,800
32,766854059851000,21424000,21424000,1,0,800
33,766854079147000,19296000,19296000,1,0,800
34,766854100532000,21385000,21385000,1,0,800
35,766854121912000,21380000,21380000,1,0,800
36,766854142448000,20536000,20536000,1,0,800
37,766854162241000,19793000,19793000,1,0,800
38,766854183679000,21438000,21438000,1,0,800
39,766854201417000,17738000,17738000,1,0,800
40,766854220846000,19429000,19429000,1,0,800
41,766854242202000,21356000,21356000,1,0,800
42,766854261404000,19202000,19202000,1,0,800
43,766854280881000,19477000,19477000,1,0,800
44,766854301949000,21068000,21068000,1,0,800
45,766854319977000,18028000,18028000,1,0,800
46,766854341047000,21070000,21070000,1,0,800
47,766854362088000,21041000,21041000,1,0,800
48,766854383134000,21046000,21046000,1,0,800
49,766854404157000,21023000,21023000,1,0,800
50,766854423084000,18927000,18927000,1,0,800
51,766854444157000,21073000,21073000,1,0,800
52,766854463955000,19798000,19798000,1,0,800
53,766854483647000,19692000,19692000,1,0,800
54,766854504686000,21039000,21039000,1,0,800
55,766854525767000,21081000,21081000,1,0,800
56,766854546251000,20484000,20484000,1,0,800
57,766854567333000,21082000,21082000,1,0,800
58,766854586644000,19311000,19311000,1,0,800
59,766854607753000,21109000,21109000,1,0,800
60,766854628235000,20482000,20482000,1,0,800
61,766854648288000,20053000,20053000,1,0,800
62,766854665898000,17610000,17610000,1,0,800
63,766854686958000,21060000,21060000,1,0,800
64,766854708034000,21076000,21076000,1,0,800
65,766854729165000,21131000,21131000,1,0,800
66,766854750584000,21419000,21419000,1,0,800
67,766854771664000,21080000,21080000,1,0,800
68,766854792767000,21103000,21103000,1,0,800
69,766854811477000,18710000,18710000,1,0,800
70,766854832544000,21067000,21067000,1,0,800
71,766854853620000,21076000,21076000,1,0,800
72,766854871438000,17818000,17818000,1,0,800
73,766854892504000,21066000,21066000,1,0,800
74,766854913580000,21076000,21076000,1,0,800
75,766854934645000,21065000,21065000,1,0,800
76,766854955711000,21066000,21066000,1,0,800
77,766854976798000,21087000,21087000,1,0,800
78,766854997018000,20220000,20220000,1,0,800
79,766855017527000,20509000,20509000,1,0,800
80,766855035986000,18459000,18459000,1,0,800
81,766855057351000,21365000,21365000,1,0,800
82,766855078319000,20968000,20968000,1,0,800
83,766855097035000,18716000,18716000,1,0,800
84,766855114744000,17709000,17709000,1,0,800
85,766855135033000,20289000,20289000,1,0,800
86,766855154429000,19396000,19396000,1,0,800
87,766855171839000,17410000,17410000,1,0,800
88,766855191648000,19809000,19809000,1,0,800
89,766855211523000,19875000,19875000,1,0,800
90,766855232612000,21089000,21089000,1,0,800
91,766855253782000,21170000,21170000,1,0,800
92,766855274873000,21091000,21091000,1,0,800
93,766855295994000,21121000,21121000,1,0,800
94,766855317110000,21116000,21116000,1,0,800
95,766855337005000,19895000,19895000,1,0,800
96,766855353993000,16988000,16988000,1,0,800
97,766855374764000,20771000,20771000,1,0,800
98,766855395883000,21119000,21119000,1,0,800
99,766855417007000,21124000,21124000,1,0,800
100,766855438116000,21109000,21109000,1,0,800
101,766855458440000,20324000,20324000,1,0,800
102,766855479565000,21125000,21125000,1,0,800
103,766855500890000,21325000,21325000,1,0,800
104,766855522004000,21114000,21114000,1,0,800
105,766855538979000,16975000,16975000,1,0,800
106,766855560113000,21134000,21134000,1,0,800
107,766855580771000,20658000,20658000,1,0,800
108,766855601880000,21109000,21109000,1,0,800
109,766855622972000,21092000,21092000,1,0,800
110,766855644070000,21098000,21098000,1,0,800
111,766855665166000,21096000,21096000,1,0,800
112,766855686293000,21127000,21127000,1,0,800
113,766855707405000,21112000,21112000,1,0,800
114,766855728538000,21133000,21133000,1,0,800
115,766855749692000,21154000,21154000,1,0,800
116,766855770770000,21078000,21078000,1,0,800
117,766855788528000,17758000,17758000,1,0,800
118,766855809627000,21099000,21099000,1,0,800
119,766855828023000,18396000,18396000,1,0,800
120,766855849386000,21363000,21363000,1,0,800
